Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,11,Vinayak Bhaurao Raut,SHS,3,Post Graduate,65,"Rs 5,06,60,534 ~ 5 Crore+","Rs 28,30,000 ~ 28 Lacs+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7775
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,1,Adv. Sanjay Sharad Gangnaik,Samajwadi Forward Bloc,0,Graduate Professional,51,"Rs 1,18,29,351 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8763
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,2,Amberkar Pandharinath Vidyadhar,IND,1,8th Pass,39,"Rs 56,21,192 ~ 56 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10740
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,3,Bhikuram Kashiram Palkar,Bahujan Mukti Party,0,Graduate,63,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8764
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,4,Kishor Sidu Varak,BSP,2,12th Pass,29,"Rs 9,24,800 ~ 9 Lacs+","Rs 1,60,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=7995
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,5,Maruti Ramchandra Joshi,Vanchit Bahujan Aaghadi,0,8th Pass,74,"Rs 34,93,826 ~ 34 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8760
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,6,Narayan Dasharath Gavas,IND,0,Graduate Professional,41,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10741
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,7,Navinchandra Bhalchandra Bandivadekar,INC,0,10th Pass,62,"Rs 12,45,20,857 ~ 12 Crore+","Rs 1,68,20,672 ~ 1 Crore+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8758
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,8,Nilesh Bhikaji Bhatade,IND,0,Graduate,28,"Rs 3,16,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10742
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,9,Nilesh Narayan Rane,Maharashtra Swabhimaan Paksh,5,Doctorate,38,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8759
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,10,Rajesh Dilipkumar Jadhav,Bahujan Republican Socialist Party,0,Graduate,33,"Rs 2,02,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=8762
2019,MAHARASHTRA,RATNAGIRI_SINDHUDURG,12,Vinayak Lavu Raut,IND,1,8th Pass,48,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10743
