Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,9,MANORANJAN BHAKTA,INC,0,Post Graduate,65,Not Available,Not Available,Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,1,A K BISWAS,BSP,0,Graduate,61,"Rs 78,76,500 ~ 78 Lacs+","Rs 65,000 ~ 65 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=7
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,2,ASIT BARAN DUTTA,IND,0,Graduate,50,"Rs 30,70,000 ~ 30 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=10
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,3,BISHNU PADA RAY,BJP,0,Graduate,54,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=2
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,4,DEEPAK BISWAS,IND,0,Not Given,28,"Rs 3,000 ~ 3 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=6
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,5,DR SHANMUGAM,LJNSP,0,Doctorate,66,"Rs 61,66,416 ~ 61 Lacs+","Rs 67,070 ~ 67 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=8
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,6,GOUR CHANDRA MAJUMDER,IND,0,Graduate,37,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=9
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,7,K KALIMUTHU,IND,1,8th Pass,51,"Rs 4,72,440 ~ 4 Lacs+","Rs 73,878 ~ 73 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=11
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,8,K PERUMAL,SWD,0,Literate,65,"Rs 77,52,141 ~ 77 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=12
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,10,N K P NAIR,CPI(ML)(L),0,Literate,49,"Rs 7,72,588 ~ 7 Lacs+","Rs 1,88,000 ~ 1 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=5
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,11,R S UMA BHARATHY,NCP,1,Not Given,40,"Rs 59,977 ~ 59 Thou+","Rs 35,000 ~ 35 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4
2004,ANDAMAN & NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,12,TAPAN KUMAR BEPARI,CPM,0,Post Graduate,46,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3
