Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,ANDHRA PRADESH,ARAKU,5,Gumma Thanuja Rani,YSRCP,0,Graduate Professional,31,"Rs 23,54,678 ~ 23 Lacs+",Rs 0 ~,Yes
2024,ANDHRA PRADESH,ARAKU,1,Appalanarasa Pachipenta,CPI(M),4,Post Graduate,41,"Rs 29,25,792 ~ 29 Lacs+","Rs 2,43,125 ~ 2 Lacs+",No
2024,ANDHRA PRADESH,ARAKU,2,Athidhi,IND,0,Graduate,32,"Rs 20,43,321 ~ 20 Lacs+","Rs 17,93,245 ~ 17 Lacs+",No
2024,ANDHRA PRADESH,ARAKU,3,Avashya Lahari . Varam,BSP,0,Graduate Professional,30,Not Available,Not Available,No
2024,ANDHRA PRADESH,ARAKU,4,Chanti Badnaina,Jai Bharat National Party,0,12th Pass,28,"Rs 1,80,000 ~ 1 Lacs+",Rs 0 ~,No
2024,ANDHRA PRADESH,ARAKU,6,Kothapalli Geetha,BJP,2,Post Graduate,53,Not Available,Not Available,No
2024,ANDHRA PRADESH,ARAKU,7,Mandala Giridhara Rao,IND,0,Graduate Professional,42,"Rs 1,10,000 ~ 1 Lacs+",Rs 0 ~,No
2024,ANDHRA PRADESH,ARAKU,8,Mottadam . Rajababu,Bharat Adivasi Party,0,Graduate Professional,47,Nil,Rs 0 ~,No
2024,ANDHRA PRADESH,ARAKU,9,Nimmaka Jayaraju,IND,0,12th Pass,64,Not Available,Not Available,No
2024,ANDHRA PRADESH,ARAKU,10,Rambabu Jalli,Telugu Rajadhikara Samiti Party,0,10th Pass,49,"Rs 9,72,850 ~ 9 Lacs+",Rs 0 ~,No
2024,ANDHRA PRADESH,ARAKU,11,Ranjith Kumar Palaka,IND,0,Graduate,42,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,No
2024,ANDHRA PRADESH,ARAKU,12,Samareddy Balakrishna,IND,0,Post Graduate,49,Not Available,Not Available,No
2024,ANDHRA PRADESH,ARAKU,13,Vuyaka Nireekshan (V. Chenchu),India Praja Bandhu Party,0,10th Pass,44,"Rs 4,95,948 ~ 4 Lacs+",Rs 0 ~,No
