Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,UTTAR PRADESH,HAMIRPUR,1,Ajendra Singh Lodhi,SP,0,12th Pass,53,"Rs 5,02,37,175 ~ 5 Crore+","Rs 74,85,000 ~ 74 Lacs+",Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7179
2024,UTTAR PRADESH,HAMIRPUR,2,Anupam Kumar Tripathi,Bhartiya Shakti Chetna Party,0,Graduate,47,"Rs 44,72,755 ~ 44 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7549
2024,UTTAR PRADESH,HAMIRPUR,3,Bhuvanendra Narayan Singh,IND,0,Post Graduate,36,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7545
2024,UTTAR PRADESH,HAMIRPUR,4,Brijesh Kumar Pal,Rashtra Uday Party,0,Others,33,"Rs 6,95,367 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7547
2024,UTTAR PRADESH,HAMIRPUR,5,Dharmraj,Al-Hind Party,0,12th Pass,40,"Rs 20,500 ~ 20 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7544
2024,UTTAR PRADESH,HAMIRPUR,6,Kunwar Pushpendra Singh Chandel,BJP,0,Post Graduate,50,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7177
2024,UTTAR PRADESH,HAMIRPUR,7,Nirdosh Kumar Dixit,BSP,1,Post Graduate,42,"Rs 1,86,44,896 ~ 1 Crore+","Rs 9,60,000 ~ 9 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7178
2024,UTTAR PRADESH,HAMIRPUR,8,Rajesh Singh,IND,0,10th Pass,38,"Rs 2,71,570 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7546
2024,UTTAR PRADESH,HAMIRPUR,9,Sanjiv Kumar,Spashtwadi Jan Aadhar Party,0,Graduate,58,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7548
2024,UTTAR PRADESH,HAMIRPUR,10,Santosh Kumar,IND,0,Post Graduate,42,"Rs 5,42,146 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7550
2024,UTTAR PRADESH,HAMIRPUR,11,Suresh Kumar,Eklavya Samaj Party,0,Graduate,40,"Rs 5,10,781 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7543
