Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,RAJASTHAN,CHURU,9,Rahul Kaswan,BJP,0,Graduate,42,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11536
2019,RAJASTHAN,CHURU,1,Aslam,IND,0,Literate,47,"Rs 93,973 ~ 93 Thou+","Rs 1,24,600 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11281
2019,RAJASTHAN,CHURU,2,Balwan Poonia,CPI(M),12,Graduate Professional,41,"Rs 36,68,789 ~ 36 Lacs+","Rs 14,15,622 ~ 14 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11703
2019,RAJASTHAN,CHURU,3,Bishanaram,IND,0,Graduate,41,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11706
2019,RAJASTHAN,CHURU,4,Dararam Nayak,IND,0,Graduate,40,"Rs 5,17,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11710
2019,RAJASTHAN,CHURU,5,Gomati Dharampal Kataria,Bharat Rakshak Party (Democratic),0,Literate,52,"Rs 1,82,12,900 ~ 1 Crore+","Rs 13,50,000 ~ 13 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11280
2019,RAJASTHAN,CHURU,6,Hari Singh,BSP,0,12th Pass,57,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11709
2019,RAJASTHAN,CHURU,7,Kumbharam Meena,IND,0,8th Pass,43,"Rs 5,46,100 ~ 5 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11708
2019,RAJASTHAN,CHURU,8,Rafique Mandelia,INC,3,10th Pass,58,"Rs 58,22,81,544 ~ 58 Crore+","Rs 46,47,21,999 ~ 46 Crore+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11702
2019,RAJASTHAN,CHURU,10,Satyapal Bauddh,Ambedkarite Party of India,0,10th Pass,62,"Rs 20,65,170 ~ 20 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11701
2019,RAJASTHAN,CHURU,11,Sheela Shekhawat,IND,0,Post Graduate,32,"Rs 20,50,620 ~ 20 Lacs+","Rs 8,74,224 ~ 8 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11537
2019,RAJASTHAN,CHURU,12,Sukhdev Meghwal,IND,0,Graduate,42,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11707
