Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,BIHAR,Jahanabad,5,GANESH PRASAD SINGH,RJD,0,Post Graduate,57,"Rs 89,90,298 ~ 89 Lacs+","Rs 2,94,350 ~ 2 Lacs+",Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=607
2004,BIHAR,Jahanabad,1,AJAY KUMAR BHADANI,IND,0,Graduate,47,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=615
2004,BIHAR,Jahanabad,2,ARUN KUMAR,JD(U),1,Doctorate,44,"Rs 1,05,94,721 ~ 1 Crore+","Rs 3,98,145 ~ 3 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=608
2004,BIHAR,Jahanabad,3,ATENDRA SINGH,IND,0,10th Pass,29,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=620
2004,BIHAR,Jahanabad,4,CHANDRASHEKHAR SINGH ALIAS CHANDRASHEKHAR PRASAD YADAV,IND,0,Not Given,41,"Rs 1,29,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=618
2004,BIHAR,Jahanabad,6,JAGYA NAND SINGH,IND,0,12th Pass,30,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=616
2004,BIHAR,Jahanabad,7,MAHANAND PRASAD,CPI(ML)(L),3,12th Pass,38,"Rs 1,91,600 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=609
2004,BIHAR,Jahanabad,8,NAUSHAD AHMAD,BSP,0,10th Pass,51,"Rs 8,56,500 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=610
2004,BIHAR,Jahanabad,9,RAM SINGHASAN SINGH,AD,0,10th Pass,49,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=614
2004,BIHAR,Jahanabad,10,RAMASHRAY PRASAD SINGH,SPVD,0,Not Given,79,"Rs 23,22,751 ~ 23 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=611
2004,BIHAR,Jahanabad,11,SADHU SINHA,IND,0,Graduate,59,"Rs 4,45,766 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=613
2004,BIHAR,Jahanabad,12,SATYENDRA PRASAD YADAV,IND,2,8th Pass,43,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=617
2004,BIHAR,Jahanabad,13,SHEO PUJAN SINGH,JP,0,10th Pass,65,"Rs 5,50,000 ~ 5 Lacs+","Rs 73,000 ~ 73 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=619
2004,BIHAR,Jahanabad,14,TAPSI SINGH,IND,0,10th Pass,56,"Rs 14,05,000 ~ 14 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=612
