Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,TAMIL NADU,MAYILADUTHURAI,15,Sudha R,INC,10,Post Graduate,46,Not Available,Not Available,Yes
2024,TAMIL NADU,MAYILADUTHURAI,1,Babu P,AIADMK,0,Post Graduate,43,"Rs 7,90,69,507 ~ 7 Crore+","Rs 80,80,000 ~ 80 Lacs+",No
2024,TAMIL NADU,MAYILADUTHURAI,2,Babu S,IND,0,5th Pass,41,"Rs 2,62,500 ~ 2 Lacs+",Rs 0 ~,No
2024,TAMIL NADU,MAYILADUTHURAI,3,Dhakshinamoorthy M,IND,0,12th Pass,53,Not Available,Not Available,No
2024,TAMIL NADU,MAYILADUTHURAI,4,Ilanchezhian T,BSP,0,Graduate,48,"Rs 46,10,000 ~ 46 Lacs+",Rs 0 ~,No
2024,TAMIL NADU,MAYILADUTHURAI,5,Jafarullah Khan F,IND,1,10th Pass,53,"Rs 3,32,02,255 ~ 3 Crore+","Rs 90,000 ~ 90 Thou+",No
2024,TAMIL NADU,MAYILADUTHURAI,6,Kaliyammal P,Naam Tamilar Katchi,2,Graduate,38,Not Available,Not Available,No
2024,TAMIL NADU,MAYILADUTHURAI,7,Karthick A,Samaniya Makkal Nala Katchi,0,8th Pass,39,"Rs 11,000 ~ 11 Thou+",Rs 0 ~,No
2024,TAMIL NADU,MAYILADUTHURAI,8,Manimaran T,IND,0,Others,63,"Rs 45,65,000 ~ 45 Lacs+",Rs 0 ~,No
2024,TAMIL NADU,MAYILADUTHURAI,9,Nagarajan K,IND,0,10th Pass,65,Not Available,Not Available,No
2024,TAMIL NADU,MAYILADUTHURAI,10,Nithiyanantham S,Naadaalum Makkal Katchi,0,10th Pass,48,"Rs 56,00,000 ~ 56 Lacs+",Rs 0 ~,No
2024,TAMIL NADU,MAYILADUTHURAI,11,Pandiyarajan S,IND,0,Graduate Professional,33,"Rs 67,345 ~ 67 Thou+","Rs 3,12,624 ~ 3 Lacs+",No
2024,TAMIL NADU,MAYILADUTHURAI,12,Silambarasan D,IND,2,Graduate Professional,33,Not Available,Not Available,No
2024,TAMIL NADU,MAYILADUTHURAI,13,Srinivasan V,IND,0,12th Pass,55,"Rs 13,07,500 ~ 13 Lacs+","Rs 17,000 ~ 17 Thou+",No
2024,TAMIL NADU,MAYILADUTHURAI,14,Stalin M K,Pattali Makkal Katchi,12,Graduate,53,"Rs 29,34,366 ~ 29 Lacs+","Rs 2,72,312 ~ 2 Lacs+",No
2024,TAMIL NADU,MAYILADUTHURAI,16,Timothy T,IND,0,5th Pass,62,"Rs 25,30,000 ~ 25 Lacs+",Rs 0 ~,No
2024,TAMIL NADU,MAYILADUTHURAI,17,Vedarethinam S,Anna MGR Dravida Makkal Kalgam,0,5th Pass,44,"Rs 29,08,515 ~ 29 Lacs+",Rs 0 ~,No
