Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,TAMIL NADU,Karur,26,TAMBIDURAI.M,ADMK,2,Doctorate,62,"Rs 9,37,50,227 ~ 9 Crore+",Rs 0 ~,Yes
2009,TAMIL NADU,Karur,1,AMALRAJ.M,IND,0,Not Given,33,"Rs 1,20,400 ~ 1 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Karur,2,ANNADURAI. V.M,IND,0,Graduate Professional,32,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Karur,3,ARULRAJKUMAR. R,IND,0,Graduate Professional,33,Not Available,Not Available,No
2009,TAMIL NADU,Karur,4,ARUN. G,IND,0,Post Graduate,28,Nil,Rs 0 ~,No
2009,TAMIL NADU,Karur,5,DHARMALINGAM.R,BSP,0,12th Pass,33,"Rs 6,95,000 ~ 6 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Karur,6,INNASI. A,IND,0,Post Graduate,45,Not Available,Not Available,No
2009,TAMIL NADU,Karur,7,KANAGARAJ. T,IND,0,10th Pass,36,"Rs 5,25,630 ~ 5 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Karur,8,KARVENTHAN. T,IND,0,10th Pass,30,"Rs 2,15,000 ~ 2 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Karur,9,LOGANATHAN. S,Samata Party,0,12th Pass,32,Not Available,Not Available,No
2009,TAMIL NADU,Karur,10,MANIKANDAN.M,IND,0,Not Given,33,"Rs 1,13,000 ~ 1 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Karur,11,MANIVANNAN. S,IND,0,Graduate Professional,36,"Rs 12,47,000 ~ 12 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Karur,12,MARUTHAIVEERAN.V,IND,0,Illiterate,43,Not Available,Not Available,No
2009,TAMIL NADU,Karur,13,MUTHUKUMAR.G,IND,0,Graduate Professional,36,"Rs 1,73,000 ~ 1 Lacs+","Rs 20,000 ~ 20 Thou+",No
2009,TAMIL NADU,Karur,14,NACHIMUTHU. V,IND,0,Not Given,37,"Rs 60,000 ~ 60 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Karur,15,NATARAJAN.R,KNMK,0,Graduate Professional,50,Not Available,Not Available,No
2009,TAMIL NADU,Karur,16,PALANISAMY. M,IND,0,10th Pass,34,"Rs 1,75,006 ~ 1 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Karur,17,PANDIAN. A,IND,0,Graduate Professional,36,"Rs 7,00,000 ~ 7 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Karur,18,PRABAHARAN. P,LJP,0,Post Graduate,37,Not Available,Not Available,No
2009,TAMIL NADU,Karur,19,RAMANATHAN.R,DMDK,0,12th Pass,53,"Rs 4,96,31,374 ~ 4 Crore+","Rs 1,71,40,635 ~ 1 Crore+",No
2009,TAMIL NADU,Karur,20,SELVARAJ. K,IND,0,10th Pass,42,"Rs 2,25,500 ~ 2 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Karur,21,SHANKAR. K,IND,0,10th Pass,37,Not Available,Not Available,No
2009,TAMIL NADU,Karur,22,"SHANMUGAM,M",IND,0,Graduate,46,"Rs 47,15,000 ~ 47 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Karur,23,SHARFUDEEN. M,IND,0,5th Pass,46,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Karur,24,SIVASAMY. P,IND,0,Graduate,26,Not Available,Not Available,No
2009,TAMIL NADU,Karur,25,SRINIVASAN. L,IND,0,Graduate,41,"Rs 6,85,878 ~ 6 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Karur,27,YOGENDRAN.M,IND,0,Graduate,28,Not Available,Not Available,No
