Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,UTTAR PRADESH,Saidpur,8,TUFANI SAROJ,SP,0,Graduate,45,"Rs 45,58,332 ~ 45 Lacs+",Rs 0 ~,Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4882
2004,UTTAR PRADESH,Saidpur,1,KAMALA PRASAD MUSAHAR,AD,0,10th Pass,37,"Rs 1,06,100 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4887
2004,UTTAR PRADESH,Saidpur,2,MATA PRASAD,INC,0,12th Pass,78,"Rs 23,73,396 ~ 23 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4885
2004,UTTAR PRADESH,Saidpur,3,NIRBHAY,GGP,0,Post Graduate,26,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4891
2004,UTTAR PRADESH,Saidpur,4,R A PRASAD,BSP,0,Post Graduate,58,"Rs 19,78,986 ~ 19 Lacs+","Rs 1,36,000 ~ 1 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4883
2004,UTTAR PRADESH,Saidpur,5,RAJENDRA,CPI(ML)(L),0,10th Pass,32,Nil,"Rs 25,000 ~ 25 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4890
2004,UTTAR PRADESH,Saidpur,6,RAM MURTY,IND,0,Not Given,40,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4886
2004,UTTAR PRADESH,Saidpur,7,RAMDAYAL,RSMD,0,Not Given,43,"Rs 1,22,246 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4889
2004,UTTAR PRADESH,Saidpur,9,VIDYASAGAR,BJP,0,Graduate,42,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4884
2004,UTTAR PRADESH,Saidpur,10,VIRENDRA,IND,0,10th Pass,33,"Rs 2,000 ~ 2 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4888
