Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,KARNATAKA,TUMKUR,18,V. Somanna,BJP,1,Graduate,72,Not Available,Not Available,Yes
2024,KARNATAKA,TUMKUR,1,B. Devaraj,IND,0,10th Pass,49,"Rs 4,40,000 ~ 4 Lacs+",Rs 0 ~,No
2024,KARNATAKA,TUMKUR,2,Basavaraju. H.R,National Maha Sabha Party,1,12th Pass,53,"Rs 87,50,000 ~ 87 Lacs+","Rs 31,50,000 ~ 31 Lacs+",No
2024,KARNATAKA,TUMKUR,3,Dr. H.B.M. Hiremath,Kannada Paksha,0,Post Graduate,62,Not Available,Not Available,No
2024,KARNATAKA,TUMKUR,4,H.L. Mohan Kumar,IND,0,8th Pass,45,"Rs 9,58,002 ~ 9 Lacs+",Rs 0 ~,No
2024,KARNATAKA,TUMKUR,5,J.K. Sami,IND,0,5th Pass,58,"Rs 72,000 ~ 72 Thou+",Rs 0 ~,No
2024,KARNATAKA,TUMKUR,6,Kapanigowda,IND,0,Graduate Professional,69,Not Available,Not Available,No
2024,KARNATAKA,TUMKUR,7,Mallikarjunaiah,IND,0,10th Pass,44,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2024,KARNATAKA,TUMKUR,8,Neelakantesha. H S,IND,0,Others,38,"Rs 1,17,43,000 ~ 1 Crore+","Rs 20,30,000 ~ 20 Lacs+",No
2024,KARNATAKA,TUMKUR,9,Pradeep Kumar Doddamuddegowda,Karnataka Rashtra Samithi,0,Graduate,34,Not Available,Not Available,No
2024,KARNATAKA,TUMKUR,10,Prakash. R.A. Jain,IND,0,Graduate Professional,49,Nil,Rs 0 ~,No
2024,KARNATAKA,TUMKUR,11,R. Narayanappa,IND,0,8th Pass,57,"Rs 3,70,745 ~ 3 Lacs+","Rs 25,000 ~ 25 Thou+",No
2024,KARNATAKA,TUMKUR,12,R. Pushpa,IND,0,5th Pass,39,Not Available,Not Available,No
2024,KARNATAKA,TUMKUR,13,Rajasimha J. N.,BSP,0,Post Graduate,61,"Rs 1,10,28,000 ~ 1 Crore+","Rs 3,98,000 ~ 3 Lacs+",No
2024,KARNATAKA,TUMKUR,14,Ranganatha. R.S,IND,0,Graduate,33,"Rs 24,61,571 ~ 24 Lacs+","Rs 9,41,914 ~ 9 Lacs+",No
2024,KARNATAKA,TUMKUR,15,S.N. Swamy,SUCI(C),0,12th Pass,53,Not Available,Not Available,No
2024,KARNATAKA,TUMKUR,16,S.P. Muddahanumegowda,INC,0,Graduate Professional,69,"Rs 9,18,43,715 ~ 9 Crore+",Rs 0 ~,No
2024,KARNATAKA,TUMKUR,17,Siddaramegowda T. B,IND,0,Graduate,58,"Rs 1,59,68,411 ~ 1 Crore+","Rs 10,00,000 ~ 10 Lacs+",No
