Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,UTTAR PRADESH,MOHANLALGANJ,6,Kaushal Kishore,BJP,2,12th Pass,53,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=5774
2014,UTTAR PRADESH,MOHANLALGANJ,1,Amit Rawat,AITC,0,10th Pass,27,"Rs 1,60,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5780
2014,UTTAR PRADESH,MOHANLALGANJ,2,Brijlal,Samtawadi Republican Party,0,8th Pass,53,"Rs 97,90,200 ~ 97 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5777
2014,UTTAR PRADESH,MOHANLALGANJ,3,Gautam Bharti,Rashtriya Rashtrawadi Party,0,12th Pass,34,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7920
2014,UTTAR PRADESH,MOHANLALGANJ,4,Gopal Kanaujiya,RPI(A),0,12th Pass,43,"Rs 12,39,961 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5775
2014,UTTAR PRADESH,MOHANLALGANJ,5,Jagdish Prasad Gautam,Manavtawadi Samaj Party,0,Graduate,47,"Rs 1,02,89,500 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5771
2014,UTTAR PRADESH,MOHANLALGANJ,7,Mahendra Kumar,Awami Samta Party,0,12th Pass,44,"Rs 1,14,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6723
2014,UTTAR PRADESH,MOHANLALGANJ,8,Mahesh Kumar,IND,1,Illiterate,30,"Rs 7,88,930 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5778
2014,UTTAR PRADESH,MOHANLALGANJ,9,Meena Rawat,Naitik Party,0,12th Pass,49,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5773
2014,UTTAR PRADESH,MOHANLALGANJ,10,Meera Devi,Mahila Swabhiman Party,0,Graduate,27,"Rs 6,11,600 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6722
2014,UTTAR PRADESH,MOHANLALGANJ,11,Narendra Kumar,INC,0,Graduate,45,"Rs 2,95,31,000 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5776
2014,UTTAR PRADESH,MOHANLALGANJ,12,Om Prakash,Peace Party,0,12th Pass,62,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6718
2014,UTTAR PRADESH,MOHANLALGANJ,13,R.k Chaudhary,BSP,1,Graduate Professional,55,"Rs 93,09,539 ~ 93 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5770
2014,UTTAR PRADESH,MOHANLALGANJ,14,Reena Chaudhary,IND,0,Post Graduate,33,"Rs 8,92,565 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6716
2014,UTTAR PRADESH,MOHANLALGANJ,15,Santosh Kumar Dharkar,Indian National League,0,Graduate Professional,31,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6721
2014,UTTAR PRADESH,MOHANLALGANJ,16,Shatrohanlal Rawat,IND,0,8th Pass,46,"Rs 22,91,000 ~ 22 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7921
2014,UTTAR PRADESH,MOHANLALGANJ,17,Sunil Gautam,AAP,0,Graduate,30,"Rs 13,07,500 ~ 13 Lacs+","Rs 4,18,000 ~ 4 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6724
2014,UTTAR PRADESH,MOHANLALGANJ,18,Sushila Saroj,SP,1,Post Graduate,63,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5772
