Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,UTTAR PRADESH,Amethi,5,RAHUL GANDHI,INC,0,Post Graduate,32,"Rs 55,38,123 ~ 55 Lacs+",Rs 0 ~,Yes
2004,UTTAR PRADESH,Amethi,1,Chandra Parkash Mishra Matiyari,BSP,1,Graduate,33,"Rs 19,45,000 ~ 19 Lacs+","Rs 1,30,000 ~ 1 Lacs+",No
2004,UTTAR PRADESH,Amethi,2,JIYA LAL,IND,0,Not Given,38,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Amethi,3,MOHD SABIR KHAN,RSBP,0,Not Given,0,Not Available,Not Available,No
2004,UTTAR PRADESH,Amethi,4,RADHEY SHYAM,IND,0,8th Pass,30,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Amethi,6,RAJESH KUMAR RAWQT,IND,0,Not Given,34,Not Available,Not Available,No
2004,UTTAR PRADESH,Amethi,7,RAM DULARE,IND,0,Literate,49,Nil,"Rs 16,000 ~ 16 Thou+",No
2004,UTTAR PRADESH,Amethi,8,RAM VILASHDAS VEDANTI,BJP,0,Doctorate,50,"Rs 2,11,907 ~ 2 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Amethi,9,SHASHILESH,IND,0,Graduate,27,Not Available,Not Available,No
2004,UTTAR PRADESH,Amethi,10,SHRI RAM,IND,0,5th Pass,42,"Rs 1,73,384 ~ 1 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Amethi,11,SHYAM LAL,IND,0,Not Given,38,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Amethi,12,UDAI RAJ MAURYA SATYAPATHI JI,AD,0,Post Graduate,29,Not Available,Not Available,No
