Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,KARNATAKA,DAKSHINA_KANNADA,9,Nalin Kumar Kateel,BJP,4,10th Pass,52,Not Available,Not Available,Yes
2019,KARNATAKA,DAKSHINA_KANNADA,1,Abdul Hameed,IND,0,5th Pass,42,"Rs 6,68,000 ~ 6 Lacs+",Rs 0 ~,No
2019,KARNATAKA,DAKSHINA_KANNADA,2,Alexander,IND,1,Graduate,61,"Rs 3,05,10,500 ~ 3 Crore+","Rs 8,50,000 ~ 8 Lacs+",No
2019,KARNATAKA,DAKSHINA_KANNADA,3,Deepak Rajesh Coelho,IND,0,12th Pass,43,Not Available,Not Available,No
2019,KARNATAKA,DAKSHINA_KANNADA,4,H. Suresh Poojary,IND,0,5th Pass,47,"Rs 2,77,000 ~ 2 Lacs+",Rs 0 ~,No
2019,KARNATAKA,DAKSHINA_KANNADA,5,Maxim Pinto,IND,0,10th Pass,55,"Rs 2,48,60,000 ~ 2 Crore+","Rs 1,57,80,000 ~ 1 Crore+",No
2019,KARNATAKA,DAKSHINA_KANNADA,6,Mithun M Rai,INC,1,Graduate,34,Not Available,Not Available,No
2019,KARNATAKA,DAKSHINA_KANNADA,7,Mohammad Khalid,IND,0,Illiterate,46,"Rs 1,50,500 ~ 1 Lacs+",Rs 0 ~,No
2019,KARNATAKA,DAKSHINA_KANNADA,8,Mohammed Eliyas,SDPI,1,12th Pass,57,"Rs 5,01,640 ~ 5 Lacs+",Rs 0 ~,No
2019,KARNATAKA,DAKSHINA_KANNADA,10,S. Sathish Saliyan,BSP,0,12th Pass,53,"Rs 20,81,489 ~ 20 Lacs+","Rs 14,10,607 ~ 14 Lacs+",No
2019,KARNATAKA,DAKSHINA_KANNADA,11,Supreeth Kumar Poojary,Hindustan Janta Party,0,10th Pass,43,"Rs 20,38,000 ~ 20 Lacs+","Rs 1,42,150 ~ 1 Lacs+",No
2019,KARNATAKA,DAKSHINA_KANNADA,12,Venkatesh Bende,IND,0,Graduate,47,Not Available,Not Available,No
2019,KARNATAKA,DAKSHINA_KANNADA,13,Vijay Shreenivas C,Uttama Prajaakeeya Party,0,8th Pass,47,"Rs 9,77,230 ~ 9 Lacs+","Rs 5,70,000 ~ 5 Lacs+",No
