Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,RAJASTHAN,Jhalawar_Baran,4,DUSHYANT SINGH,BJP,0,Post Graduate,38,"Rs 6,41,10,900 ~ 6 Crore+","Rs 27,79,153 ~ 27 Lacs+",Yes
2009,RAJASTHAN,Jhalawar_Baran,1,ABDUL FARID,IND,0,Post Graduate,39,"Rs 60,000 ~ 60 Thou+",Rs 0 ~,No
2009,RAJASTHAN,Jhalawar_Baran,2,ABDUL QAYYUM,BSP,0,Graduate,37,"Rs 8,11,200 ~ 8 Lacs+",Rs 0 ~,No
2009,RAJASTHAN,Jhalawar_Baran,3,DUSHYANT KUMAR,IND,0,Post Graduate,28,Not Available,Not Available,No
2009,RAJASTHAN,Jhalawar_Baran,5,FAZAR MOHAMMAD,IND,1,10th Pass,69,"Rs 48,52,000 ~ 48 Lacs+","Rs 50,000 ~ 50 Thou+",No
2009,RAJASTHAN,Jhalawar_Baran,6,GHASI LAL,BHBP,0,Post Graduate,40,Not Available,Not Available,No
2009,RAJASTHAN,Jhalawar_Baran,7,JAGDISH,IND,0,8th Pass,32,"Rs 76,000 ~ 76 Thou+",Rs 0 ~,No
2009,RAJASTHAN,Jhalawar_Baran,8,Jhapatmal,IND,0,5th Pass,35,"Rs 82,000 ~ 82 Thou+","Rs 1,50,000 ~ 1 Lacs+",No
2009,RAJASTHAN,Jhalawar_Baran,9,LAXMAN KUMAR,IND,1,5th Pass,32,Not Available,Not Available,No
2009,RAJASTHAN,Jhalawar_Baran,10,MOHAMMAD RAFIQ,IND,0,Not Given,35,Nil,Rs 0 ~,No
2009,RAJASTHAN,Jhalawar_Baran,11,SHOBHA DEVI,IND,0,10th Pass,35,"Rs 10,06,500 ~ 10 Lacs+","Rs 95,000 ~ 95 Thou+",No
2009,RAJASTHAN,Jhalawar_Baran,12,SULEMAN,IND,1,5th Pass,41,Not Available,Not Available,No
2009,RAJASTHAN,Jhalawar_Baran,13,TARA CHAND,IND,0,8th Pass,37,"Rs 18,741 ~ 18 Thou+",Rs 0 ~,No
2009,RAJASTHAN,Jhalawar_Baran,14,URMILA BAI,INC,0,12th Pass,36,"Rs 5,58,61,283 ~ 5 Crore+","Rs 29,29,997 ~ 29 Lacs+",No
