Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,UTTAR PRADESH,Farrukhabad,9,SALMAN KHURSHEED,INC,0,Post Graduate,56,Not Available,Not Available,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=7265
2009,UTTAR PRADESH,Farrukhabad,1,CHANDRA BHUSAN SINGH,SP,0,Post Graduate,65,"Rs 1,85,76,589 ~ 1 Crore+","Rs 3,30,198 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7257
2009,UTTAR PRADESH,Farrukhabad,2,DALGANJAN SINGH YADAV,BRM,4,8th Pass,73,"Rs 10,26,800 ~ 10 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7251
2009,UTTAR PRADESH,Farrukhabad,3,JAIVEER SINGH SHAKYA,BRPP,0,Graduate Professional,31,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7270
2009,UTTAR PRADESH,Farrukhabad,4,MITHALESH KUMARI,BJP,0,Post Graduate,54,"Rs 10,40,18,017 ~ 10 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7256
2009,UTTAR PRADESH,Farrukhabad,5,OM BABU,JPS,0,Post Graduate,57,"Rs 8,10,000 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7271
2009,UTTAR PRADESH,Farrukhabad,6,RAM SHARAN,BNRP,0,12th Pass,62,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7260
2009,UTTAR PRADESH,Farrukhabad,7,RISHI DUTT,ABHM,1,8th Pass,36,"Rs 11,10,000 ~ 11 Lacs+","Rs 40,000 ~ 40 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7267
2009,UTTAR PRADESH,Farrukhabad,8,RIYAZ AHMAD,IND,0,Graduate,61,"Rs 14,35,000 ~ 14 Lacs+","Rs 90,000 ~ 90 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7263
2009,UTTAR PRADESH,Farrukhabad,10,SMT VEENA,IND,0,Graduate,54,"Rs 98,000 ~ 98 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7261
2009,UTTAR PRADESH,Farrukhabad,11,SUBODH,AD,0,Not Given,40,"Rs 5,22,500 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7254
2009,UTTAR PRADESH,Farrukhabad,12,SURESH CHANDRA SARASWAT,IND,0,Not Given,50,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7264
2009,UTTAR PRADESH,Farrukhabad,13,SWAMI SACHIDANAND HARI SAKSHI,RTKP,3,Doctorate,53,"Rs 71,48,676 ~ 71 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7250
2009,UTTAR PRADESH,Farrukhabad,14,VINOD KUMAR,IND,0,Not Given,55,"Rs 3,94,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7253
2009,UTTAR PRADESH,Farrukhabad,15,WAZID ALI,IJP,0,Not Given,40,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7262
