Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,JHARKHAND,KODARMA,14,Ravindra Kumar Ray,BJP,0,Doctorate,50,"Rs 1,05,64,046 ~ 1 Crore+","Rs 2,00,000 ~ 2 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=47
2014,JHARKHAND,KODARMA,1,Dr. Suraj Mandal,Jharkhand Vikas Dal,2,Doctorate,65,"Rs 78,71,582 ~ 78 Lacs+","Rs 7,00,000 ~ 7 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1247
2014,JHARKHAND,KODARMA,2,Jaideo Choudhary,SP,2,10th Pass,52,"Rs 46,20,269 ~ 46 Lacs+","Rs 28,831 ~ 28 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1249
2014,JHARKHAND,KODARMA,3,Kanchan Kumari,IND,0,12th Pass,27,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=641
2014,JHARKHAND,KODARMA,4,Krishna Singh,JD(U),1,Literate,50,"Rs 5,18,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=648
2014,JHARKHAND,KODARMA,5,Mahendra Ravidas,Bahujan Mukti Party,0,Graduate,44,"Rs 8,89,868 ~ 8 Lacs+","Rs 1,33,210 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1251
2014,JHARKHAND,KODARMA,6,Manju Kumari,AITC,0,Post Graduate,36,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1245
2014,JHARKHAND,KODARMA,7,Manoj Kumar,IND,0,Post Graduate,38,"Rs 84,10,000 ~ 84 Lacs+","Rs 10,000 ~ 10 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1252
2014,JHARKHAND,KODARMA,8,Md Jalil Ansari,National Loktantrik Party,0,Illiterate,40,"Rs 5,41,600 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1253
2014,JHARKHAND,KODARMA,9,Najrul Hassan Hashmi,AJSU Party,0,Literate,42,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=646
2014,JHARKHAND,KODARMA,10,Phaljit Mahto,IND,0,Illiterate,40,"Rs 9,95,000 ~ 9 Lacs+","Rs 15,000 ~ 15 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=644
2014,JHARKHAND,KODARMA,11,Pranav Kumar Verma,JVM(P),0,Post Graduate,34,"Rs 13,86,131 ~ 13 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=642
2014,JHARKHAND,KODARMA,12,Raghunandan Prasad Vishwakarma,AIFB,0,10th Pass,63,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=643
2014,JHARKHAND,KODARMA,13,Rameshwar Prasad Yadav,IND,0,Post Graduate,37,"Rs 14,88,300 ~ 14 Lacs+","Rs 45,000 ~ 45 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=645
2014,JHARKHAND,KODARMA,15,Shivnath Sav,IND,0,8th Pass,28,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1248
2014,JHARKHAND,KODARMA,16,Tilakdhari Prasad Singh,INC,0,Graduate,69,"Rs 46,66,034 ~ 46 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=478
2014,JHARKHAND,KODARMA,17,Vijay Kumar Chourasiya,AAP,1,Graduate,42,"Rs 37,04,548 ~ 37 Lacs+","Rs 6,20,968 ~ 6 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1246
2014,JHARKHAND,KODARMA,18,Visheshwar Prasad,BSP,0,8th Pass,45,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=477
2014,JHARKHAND,KODARMA,19,Yogender Ram,Akhil Bharatiya Jan Sangh,0,10th Pass,39,"Rs 47,65,000 ~ 47 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=647
