Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,TAMIL NADU,KALLAKURICHI,6,K. Kamaraj,AIADMK,0,Post Graduate,48,Not Available,Not Available,Yes
2014,TAMIL NADU,KALLAKURICHI,1,A.govindasamy,IND,0,8th Pass,48,"Rs 18,91,000 ~ 18 Lacs+","Rs 3,00,000 ~ 3 Lacs+",No
2014,TAMIL NADU,KALLAKURICHI,2,A.k.perumal,Jharkhand Mukti Morcha (Ulgulan),0,Post Graduate,51,"Rs 53,02,255 ~ 53 Lacs+",Rs 0 ~,No
2014,TAMIL NADU,KALLAKURICHI,3,A.shajahan,IND,0,Graduate Professional,65,Not Available,Not Available,No
2014,TAMIL NADU,KALLAKURICHI,4,Devadass. R,INC,1,Graduate Professional,61,"Rs 7,65,77,515 ~ 7 Crore+","Rs 65,68,797 ~ 65 Lacs+",No
2014,TAMIL NADU,KALLAKURICHI,5,G.bojan,IND,0,8th Pass,42,"Rs 4,22,000 ~ 4 Lacs+",Rs 0 ~,No
2014,TAMIL NADU,KALLAKURICHI,7,K. Sekar,IND,0,10th Pass,59,"Rs 52,000 ~ 52 Thou+",Rs 0 ~,No
2014,TAMIL NADU,KALLAKURICHI,8,K.mohammed Yasin,AAP,0,Others,35,"Rs 24,57,180 ~ 24 Lacs+","Rs 3,12,000 ~ 3 Lacs+",No
2014,TAMIL NADU,KALLAKURICHI,9,K.vellaiyan,IND,0,5th Pass,48,Not Available,Not Available,No
2014,TAMIL NADU,KALLAKURICHI,10,K.vetrivel,IND,0,12th Pass,28,"Rs 10,03,333 ~ 10 Lacs+","Rs 9,31,833 ~ 9 Lacs+",No
2014,TAMIL NADU,KALLAKURICHI,11,Kamaraj. R,IND,0,10th Pass,35,"Rs 2,68,440 ~ 2 Lacs+",Rs 0 ~,No
2014,TAMIL NADU,KALLAKURICHI,12,M.p.mannan,IND,0,Post Graduate,53,Not Available,Not Available,No
2014,TAMIL NADU,KALLAKURICHI,13,P.narayansamy,IND,1,10th Pass,43,"Rs 17,14,800 ~ 17 Lacs+","Rs 2,25,000 ~ 2 Lacs+",No
2014,TAMIL NADU,KALLAKURICHI,14,R.manimaran,DMK,0,Post Graduate,51,"Rs 2,36,53,826 ~ 2 Crore+","Rs 11,21,682 ~ 11 Lacs+",No
2014,TAMIL NADU,KALLAKURICHI,15,R.pandiyan,IND,0,10th Pass,58,Not Available,Not Available,No
2014,TAMIL NADU,KALLAKURICHI,16,S.lakshmanan,IND,0,8th Pass,60,"Rs 5,75,000 ~ 5 Lacs+",Rs 0 ~,No
2014,TAMIL NADU,KALLAKURICHI,17,S.madhaiyan,IND,0,Illiterate,48,"Rs 5,50,000 ~ 5 Lacs+","Rs 44,000 ~ 44 Thou+",No
2014,TAMIL NADU,KALLAKURICHI,18,S.sakthivel,BSP,0,Others,50,Not Available,Not Available,No
2014,TAMIL NADU,KALLAKURICHI,19,T.ramachandiran,IND,0,5th Pass,56,"Rs 52,095 ~ 52 Thou+",Rs 0 ~,No
2014,TAMIL NADU,KALLAKURICHI,20,V.p.eswaran,DMDK,0,Post Graduate,69,"Rs 9,80,21,861 ~ 9 Crore+","Rs 50,00,000 ~ 50 Lacs+",No
2014,TAMIL NADU,KALLAKURICHI,21,Varadan. M,IND,0,Post Graduate,61,Not Available,Not Available,No
2014,TAMIL NADU,KALLAKURICHI,22,Vennila. K,IND,0,10th Pass,44,"Rs 23,90,900 ~ 23 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No
