Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,UTTAR PRADESH,SAMBHAL,12,Zia Ur Rehman,SP,6,Graduate Professional,36,Not Available,Not Available,Yes
2024,UTTAR PRADESH,SAMBHAL,1,Anuj Varshney,IND,0,Graduate Professional,46,"Rs 10,94,259 ~ 10 Lacs+","Rs 2,60,000 ~ 2 Lacs+",No
2024,UTTAR PRADESH,SAMBHAL,2,Chaudhary Saulat Ali,BSP,1,Graduate Professional,72,"Rs 6,31,38,746 ~ 6 Crore+","Rs 83,50,000 ~ 83 Lacs+",No
2024,UTTAR PRADESH,SAMBHAL,3,Dr Rashid,Peace Party,0,Post Graduate,48,Not Available,Not Available,No
2024,UTTAR PRADESH,SAMBHAL,4,Jaygamul Islam,Janta Shashan Party,0,12th Pass,44,"Rs 12,65,500 ~ 12 Lacs+",Rs 0 ~,No
2024,UTTAR PRADESH,SAMBHAL,5,Mahandra Singh,IND,0,Post Graduate,28,"Rs 14,87,500 ~ 14 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No
2024,UTTAR PRADESH,SAMBHAL,6,Mohd Waseem So Mohd Fareed,IND,0,Graduate Professional,32,Not Available,Not Available,No
2024,UTTAR PRADESH,SAMBHAL,7,Parmeshwar Lal Saini,BJP,0,10th Pass,70,"Rs 14,01,58,612 ~ 14 Crore+","Rs 1,05,39,679 ~ 1 Crore+",No
2024,UTTAR PRADESH,SAMBHAL,8,Pavan Kumar,Log Party,3,12th Pass,43,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,No
2024,UTTAR PRADESH,SAMBHAL,9,Santosh,Kisan Kranti Dal,2,8th Pass,40,Not Available,Not Available,No
2024,UTTAR PRADESH,SAMBHAL,10,Taufik Ahamad,IND,0,Post Graduate,39,"Rs 1,11,44,500 ~ 1 Crore+",Rs 0 ~,No
2024,UTTAR PRADESH,SAMBHAL,11,Waseem So Moh Shamim,IND,0,10th Pass,44,"Rs 8,47,000 ~ 8 Lacs+",Rs 0 ~,No
