Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,HARYANA,ROHTAK,1,Arvind Kumar Sharma,BJP,0,Post Graduate,56,"Rs 4,10,79,284 ~ 4 Crore+","Rs 1,67,78,090 ~ 1 Crore+",Yes
2019,HARYANA,ROHTAK,2,Ashok Kumar,IND,0,12th Pass,34,"Rs 38,87,828 ~ 38 Lacs+",Rs 0 ~,No
2019,HARYANA,ROHTAK,3,Deepender Singh,INC,0,Post Graduate,41,Not Available,Not Available,No
2019,HARYANA,ROHTAK,4,Dharamvir,INLD,0,10th Pass,54,"Rs 1,92,40,828 ~ 1 Crore+","Rs 15,00,000 ~ 15 Lacs+",No
2019,HARYANA,ROHTAK,5,Imran,Bharat Prabhat Party,0,12th Pass,38,"Rs 43,70,000 ~ 43 Lacs+",Rs 0 ~,No
2019,HARYANA,ROHTAK,6,Inderjeet,IND,2,Post Graduate,32,Not Available,Not Available,No
2019,HARYANA,ROHTAK,7,Jai Karan,SUCI(C),0,Post Graduate,73,"Rs 1,60,19,515 ~ 1 Crore+",Rs 0 ~,No
2019,HARYANA,ROHTAK,8,Kishan Lal,BSP,0,5th Pass,51,"Rs 1,06,38,347 ~ 1 Crore+",Rs 0 ~,No
2019,HARYANA,ROHTAK,9,Krishan,IND,0,12th Pass,33,Not Available,Not Available,No
2019,HARYANA,ROHTAK,10,Manju Devi,Pragatishil Samajwadi Party (Lohia),0,8th Pass,34,"Rs 17,20,000 ~ 17 Lacs+","Rs 49,000 ~ 49 Thou+",No
2019,HARYANA,ROHTAK,11,Parveen Kumar,IND,0,Post Graduate,35,"Rs 8,85,000 ~ 8 Lacs+",Rs 0 ~,No
2019,HARYANA,ROHTAK,12,Pradeep Kumar Deswal,Jannayak Janta Party,3,Post Graduate,32,Not Available,Not Available,No
2019,HARYANA,ROHTAK,13,Rajbir,Aapki Apni Party (Peoples),0,Graduate,26,"Rs 37,85,000 ~ 37 Lacs+",Rs 0 ~,No
2019,HARYANA,ROHTAK,14,Ram Kishan Sain,IND,0,10th Pass,55,"Rs 3,44,30,000 ~ 3 Crore+","Rs 10,50,000 ~ 10 Lacs+",No
2019,HARYANA,ROHTAK,15,Rambir,IND,0,12th Pass,27,Not Available,Not Available,No
2019,HARYANA,ROHTAK,16,Satyavir Singh,IND,0,Graduate Professional,43,"Rs 36,74,081 ~ 36 Lacs+",Rs 0 ~,No
2019,HARYANA,ROHTAK,17,Sukhbir,Dalit Soshit Pichhara Varg Adhikar Dal,0,8th Pass,41,"Rs 3,19,887 ~ 3 Lacs+","Rs 90,000 ~ 90 Thou+",No
2019,HARYANA,ROHTAK,18,Vinay,IND,0,Graduate Professional,37,Not Available,Not Available,No
