Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,WEST BENGAL,Serampore,8,Santasri Chatterjee,CPM,0,Graduate,64,"Rs 16,98,395 ~ 16 Lacs+",Rs 0 ~,Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=5405
2004,WEST BENGAL,Serampore,1,Akbar Ali Khandoker,AITC,0,Graduate,47,"Rs 30,35,064 ~ 30 Lacs+","Rs 3,36,323 ~ 3 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=5406
2004,WEST BENGAL,Serampore,2,Avash Munshi,IND,0,10th Pass,38,"Rs 3,62,571 ~ 3 Lacs+","Rs 46,656 ~ 46 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=5411
2004,WEST BENGAL,Serampore,3,Bidyut Raut,IND,0,Graduate,57,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=5412
2004,WEST BENGAL,Serampore,4,Dilip Bhattacharya,IND,1,Graduate,61,"Rs 20,46,308 ~ 20 Lacs+","Rs 37,500 ~ 37 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=5410
2004,WEST BENGAL,Serampore,5,Indradeo Ray,SP,0,Not Given,44,"Rs 1,54,800 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=5413
2004,WEST BENGAL,Serampore,6,Kesto Mukherjee,INC,0,10th Pass,58,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=5407
2004,WEST BENGAL,Serampore,7,Sabitri Das,BSP,0,Others,47,"Rs 73,000 ~ 73 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=5409
2004,WEST BENGAL,Serampore,9,Sukumar Malik,IND,0,10th Pass,33,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=5408
2004,WEST BENGAL,Serampore,10,Suresh Nayak,JD(S),0,Others,33,"Rs 4,37,275 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=5414
