Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,WEST BENGAL,Calcutta_North_East,9,Md. Salim,CPM,0,Post Graduate,46,Not Available,Not Available,Yes
2004,WEST BENGAL,Calcutta_North_East,1,"Ajit Kumar Panja ( Mamudpur, P.s- Chandrakona, Ghatal, West Medinipur)",IND,0,Others,47,"Rs 15,000 ~ 15 Thou+",Rs 0 ~,No
2004,WEST BENGAL,Calcutta_North_East,2,"Ajit Kumar Panja (250, Chittaranjan Avenue, Kolkata-700 006)",AITC,0,Others,68,"Rs 1,63,54,802 ~ 1 Crore+",Rs 0 ~,No
2004,WEST BENGAL,Calcutta_North_East,3,Angshuman Paul,IND,0,Not Given,0,Not Available,Not Available,No
2004,WEST BENGAL,Calcutta_North_East,4,Chandra Prakash Dubey,BSP,0,12th Pass,48,"Rs 1,010 ~ 1 Thou+",Rs 0 ~,No
2004,WEST BENGAL,Calcutta_North_East,5,Debojyoti Basu,IND,0,12th Pass,39,Rs 750 ~ 7 Hund+,Rs 0 ~,No
2004,WEST BENGAL,Calcutta_North_East,6,Imtiaz Ahmed,IND,0,10th Pass,59,Not Available,Not Available,No
2004,WEST BENGAL,Calcutta_North_East,7,Indira Mukherjee ( Moushumi Chatterjee),INC,0,Not Given,45,"Rs 19,24,891 ~ 19 Lacs+",Rs 0 ~,No
2004,WEST BENGAL,Calcutta_North_East,8,Mahua Roy,IND,0,12th Pass,39,"Rs 23,000 ~ 23 Thou+",Rs 0 ~,No
2004,WEST BENGAL,Calcutta_North_East,10,Pintu Kundu,IND,0,Others,30,"Rs 58,614 ~ 58 Thou+",Rs 0 ~,No
