Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,BIHAR,BANKA,5,Jaiprakash Narayan Yadav,RJD,2,Post Graduate,60,"Rs 2,78,46,274 ~ 2 Crore+","Rs 7,91,539 ~ 7 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=4467
2014,BIHAR,BANKA,1,Akhil Bhartiya Sharma,IND,0,Graduate Professional,48,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5240
2014,BIHAR,BANKA,2,Alimuddin Ansari,IND,0,Others,53,"Rs 3,52,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5241
2014,BIHAR,BANKA,3,Deepak Kumar,SUCI(C),0,12th Pass,35,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4106
2014,BIHAR,BANKA,4,Inderaj Singh Saini,IND,0,10th Pass,70,"Rs 1,19,18,305 ~ 1 Crore+","Rs 20,00,000 ~ 20 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4468
2014,BIHAR,BANKA,6,Mahboob Alam Ansari,Bharatiya Momin Front,0,Post Graduate,55,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3969
2014,BIHAR,BANKA,7,Mithilesh Kumar Singh,National Loktantrik Party,0,10th Pass,31,"Rs 19,86,983 ~ 19 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5239
2014,BIHAR,BANKA,8,Mukesh Kumar Sinha,Bhartiya Ekta Manch Party,0,Doctorate,42,"Rs 69,05,132 ~ 69 Lacs+","Rs 25,88,967 ~ 25 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4105
2014,BIHAR,BANKA,9,Naresh Kumar Priyadarshi,IND,0,Graduate,38,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4104
2014,BIHAR,BANKA,10,Niraj Kumar,AAP,0,12th Pass,43,"Rs 19,77,100 ~ 19 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4460
2014,BIHAR,BANKA,11,Putul Kumari,BJP,2,Post Graduate,54,"Rs 5,80,28,261 ~ 5 Crore+","Rs 7,25,973 ~ 7 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4464
2014,BIHAR,BANKA,12,Sanjay Kumar,CPI,3,Post Graduate,50,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4463
2014,BIHAR,BANKA,13,Sanjay Kumar,BSP,1,10th Pass,58,"Rs 18,00,000 ~ 18 Lacs+","Rs 12,00,000 ~ 12 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4461
2014,BIHAR,BANKA,14,Sargun Sah,IND,0,8th Pass,59,"Rs 18,24,000 ~ 18 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4466
2014,BIHAR,BANKA,15,Subodh Narayan Jha,AITC,0,Graduate,63,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4465
2014,BIHAR,BANKA,16,Umakant Yadav,Bahujan Mukti Party,0,Graduate Professional,63,"Rs 30,15,000 ~ 30 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3968
2014,BIHAR,BANKA,17,Viajy Bharti,Rajnaitik Vikalp Party,0,10th Pass,59,"Rs 3,53,558 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4462
