Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,BIHAR,UJIARPUR,9,Nityanand Rai,BJP,3,Graduate,58,Not Available,Not Available,Yes
2024,BIHAR,UJIARPUR,1,Alok Kumar Mehta,RJD,3,Graduate Professional,55,"Rs 10,58,15,493 ~ 10 Crore+","Rs 16,33,010 ~ 16 Lacs+",No
2024,BIHAR,UJIARPUR,2,Amaresh Ray,IND,3,10th Pass,45,"Rs 2,92,53,500 ~ 2 Crore+","Rs 50,000 ~ 50 Thou+",No
2024,BIHAR,UJIARPUR,3,Anshu Kumar,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),2,Graduate,29,Not Available,Not Available,No
2024,BIHAR,UJIARPUR,4,Kishor Kumar,IND,0,12th Pass,47,"Rs 3,12,29,959 ~ 3 Crore+","Rs 53,891 ~ 53 Thou+",No
2024,BIHAR,UJIARPUR,5,Manoj Kumar,Janta Raj Vikas Party,0,Doctorate,42,"Rs 1,46,26,600 ~ 1 Crore+","Rs 14,00,000 ~ 14 Lacs+",No
2024,BIHAR,UJIARPUR,6,Mohan Kumar Maurya,BSP,0,12th Pass,27,Not Available,Not Available,No
2024,BIHAR,UJIARPUR,7,Narendra Giri,IND,0,Graduate,50,"Rs 1,00,57,111 ~ 1 Crore+",Rs 0 ~,No
2024,BIHAR,UJIARPUR,8,Nikki Jha,Jagrook Janta Party,0,Graduate,40,"Rs 1,85,80,000 ~ 1 Crore+","Rs 11,67,000 ~ 11 Lacs+",No
2024,BIHAR,UJIARPUR,10,Rakesh Kumar,IND,0,Graduate Professional,31,"Rs 6,81,419 ~ 6 Lacs+",Rs 0 ~,No
2024,BIHAR,UJIARPUR,11,Rampukar Ray,SUCI(C),0,Literate,72,"Rs 3,75,73,244 ~ 3 Crore+",Rs 0 ~,No
2024,BIHAR,UJIARPUR,12,Sanjay Paswan,IND,1,10th Pass,45,Not Available,Not Available,No
2024,BIHAR,UJIARPUR,13,Santhosh Rai,Rashtriya Jansambhavna Party,1,Post Graduate,43,"Rs 60,000 ~ 60 Thou+",Rs 0 ~,No
