Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,TAMIL NADU,Tirunelveli,13,RAMASUBBU S,INC,0,Post Graduate,59,"Rs 3,47,06,447 ~ 3 Crore+","Rs 18,07,386 ~ 18 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=9233
2009,TAMIL NADU,Tirunelveli,1,"""SUDAROLI"" MURUGAN S. B.COM.,",IND,0,Not Given,33,"Rs 54,652 ~ 54 Thou+","Rs 67,100 ~ 67 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9245
2009,TAMIL NADU,Tirunelveli,2,ANANDARAJ N,IND,0,Literate,36,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9239
2009,TAMIL NADU,Tirunelveli,3,ANNAMALAI K,ADMK,1,10th Pass,61,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9230
2009,TAMIL NADU,Tirunelveli,4,ARUNACHALAM M,IND,0,5th Pass,57,"Rs 6,500 ~ 6 Thou+","Rs 1,83,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9238
2009,TAMIL NADU,Tirunelveli,5,BALASUBRAMANIAN S,IND,0,12th Pass,38,"Rs 38,26,000 ~ 38 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9244
2009,TAMIL NADU,Tirunelveli,6,CHANDRASEKARAN SAKTHI,IND,0,Graduate,60,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9241
2009,TAMIL NADU,Tirunelveli,7,JEYABALAN N,IND,0,8th Pass,56,"Rs 60,000 ~ 60 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9250
2009,TAMIL NADU,Tirunelveli,8,KUBENDRAN I,IND,0,8th Pass,43,"Rs 18,10,000 ~ 18 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9240
2009,TAMIL NADU,Tirunelveli,9,MICHAEL RAYAPPAN S,DMDK,0,12th Pass,46,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9236
2009,TAMIL NADU,Tirunelveli,10,"NAGARAJAN, KARU",BJP,0,12th Pass,51,"Rs 25,27,000 ~ 25 Lacs+","Rs 3,00,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9231
2009,TAMIL NADU,Tirunelveli,11,RAMALINGAM M,IND,0,5th Pass,55,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9247
2009,TAMIL NADU,Tirunelveli,12,RAMASUBBU E,IND,0,12th Pass,49,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9246
2009,TAMIL NADU,Tirunelveli,14,RAMESH PANDIAN,BSP,0,12th Pass,33,"Rs 1,45,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9232
2009,TAMIL NADU,Tirunelveli,15,SANKARAPANDIAN T,CPI(ML)(L),0,12th Pass,54,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9234
2009,TAMIL NADU,Tirunelveli,16,SELWIN D,IND,0,Not Given,65,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9242
2009,TAMIL NADU,Tirunelveli,17,SYED IMMAM S,SP,0,8th Pass,44,"Rs 70,526 ~ 70 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9235
2009,TAMIL NADU,Tirunelveli,18,THENKALAM RAJA M,IND,0,Graduate Professional,34,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9248
2009,TAMIL NADU,Tirunelveli,19,THIRUVENGATAM A,IND,0,Graduate Professional,59,"Rs 3,90,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9243
2009,TAMIL NADU,Tirunelveli,20,VEIULUMUTHUKUMAR,IND,0,12th Pass,27,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9249
2009,TAMIL NADU,Tirunelveli,21,VELMATHI (TMT) N,LJP,0,Not Given,36,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=9237
