Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,RAJASTHAN,GANGANAGAR,11,Nihalchand,BJP,0,Graduate,43,"Rs 1,08,61,172 ~ 1 Crore+","Rs 16,11,557 ~ 16 Lacs+",Yes
2014,RAJASTHAN,GANGANAGAR,1,Amar Singh,Bahujan Mukti Party,0,10th Pass,64,"Rs 12,30,000 ~ 12 Lacs+","Rs 5,86,706 ~ 5 Lacs+",No
2014,RAJASTHAN,GANGANAGAR,2,Balraj Bawari,IND,0,10th Pass,30,"Rs 5,73,000 ~ 5 Lacs+",Rs 0 ~,No
2014,RAJASTHAN,GANGANAGAR,3,Balwant Singh Hariyala,Bharatiya Sant Mat Party,0,10th Pass,45,Not Available,Not Available,No
2014,RAJASTHAN,GANGANAGAR,4,Bhanwarlal Meghwal,INC,0,Post Graduate,66,"Rs 2,40,98,177 ~ 2 Crore+","Rs 2,55,803 ~ 2 Lacs+",No
2014,RAJASTHAN,GANGANAGAR,5,Dr. Balkrishan Bawari,AAP,0,Graduate Professional,55,"Rs 38,55,000 ~ 38 Lacs+","Rs 10,90,000 ~ 10 Lacs+",No
2014,RAJASTHAN,GANGANAGAR,6,Dulichand Meghwal,IND,0,5th Pass,58,Not Available,Not Available,No
2014,RAJASTHAN,GANGANAGAR,7,Hetram,Rajasthan Vikas Party,0,Literate,60,"Rs 9,65,000 ~ 9 Lacs+","Rs 80,000 ~ 80 Thou+",No
2014,RAJASTHAN,GANGANAGAR,8,Jasvinder Singh,Jai Maha Bharath Party,0,Graduate,45,"Rs 31,92,000 ~ 31 Lacs+",Rs 0 ~,No
2014,RAJASTHAN,GANGANAGAR,9,Kartar Singh Bains,AITC,0,Post Graduate,67,Not Available,Not Available,No
2014,RAJASTHAN,GANGANAGAR,10,Kumbha Ram,IND,1,12th Pass,68,"Rs 35,50,978 ~ 35 Lacs+",Rs 0 ~,No
2014,RAJASTHAN,GANGANAGAR,12,Om Parkash,IND,0,Literate,45,Not Available,Not Available,No
2014,RAJASTHAN,GANGANAGAR,13,Pala Ram,CPI(M),0,Literate,57,"Rs 7,50,500 ~ 7 Lacs+",Rs 0 ~,No
2014,RAJASTHAN,GANGANAGAR,14,Paluskar Krishnarao Tatoba,Prabuddha Republican Party,0,Post Graduate,58,"Rs 34,61,100 ~ 34 Lacs+","Rs 15,00,000 ~ 15 Lacs+",No
2014,RAJASTHAN,GANGANAGAR,15,Shimla Devi Nayak,National Unionist Zamindara Party,0,Post Graduate,32,Not Available,Not Available,No
2014,RAJASTHAN,GANGANAGAR,16,Sunil Bhadrawal,Lok Dal,0,Graduate,32,"Rs 11,93,000 ~ 11 Lacs+",Rs 0 ~,No
2014,RAJASTHAN,GANGANAGAR,17,Titar Singh,IND,0,Literate,72,"Rs 41,500 ~ 41 Thou+",Rs 0 ~,No
