Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,JHARKHAND,LOHARDAGA,13,Sudarshan Bhagat,BJP,0,Graduate,52,"Rs 1,29,47,303 ~ 1 Crore+","Rs 5,25,000 ~ 5 Lacs+",Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10265
2019,JHARKHAND,LOHARDAGA,1,Aalone Baxla,IND,0,Graduate,47,"Rs 27,38,947 ~ 27 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10252
2019,JHARKHAND,LOHARDAGA,2,Ajit Kumar Bhagat,IND,0,Post Graduate,34,"Rs 25,50,000 ~ 25 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10253
2019,JHARKHAND,LOHARDAGA,3,Ambar Saurav Kunal,IND,0,Graduate Professional,25,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10254
2019,JHARKHAND,LOHARDAGA,4,Anand Paul Tirkey,IND,0,Graduate Professional,27,"Rs 26,47,000 ~ 26 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10255
2019,JHARKHAND,LOHARDAGA,5,Deo Kumar Dhan,Jharkhand Party,1,Graduate,53,"Rs 2,26,79,920 ~ 2 Crore+","Rs 24,00,000 ~ 24 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10256
2019,JHARKHAND,LOHARDAGA,6,Dinesh Oraon,AITC,0,12th Pass,26,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10257
2019,JHARKHAND,LOHARDAGA,7,Ekus Dhan,IND,0,Graduate,65,"Rs 20,66,713 ~ 20 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10258
2019,JHARKHAND,LOHARDAGA,8,Kalindar Oraon,IND,0,12th Pass,43,"Rs 16,36,800 ~ 16 Lacs+","Rs 25,000 ~ 25 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10260
2019,JHARKHAND,LOHARDAGA,9,Raghunath Mahli,IND,0,8th Pass,47,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10262
2019,JHARKHAND,LOHARDAGA,10,Saniya Oraon,IND,1,8th Pass,49,"Rs 10,48,129 ~ 10 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=11253
2019,JHARKHAND,LOHARDAGA,11,Sanjay Oraon,IND,0,8th Pass,41,"Rs 13,52,000 ~ 13 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10263
2019,JHARKHAND,LOHARDAGA,12,Sharvan Kumar Panna,BSP,0,Literate,40,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10264
2019,JHARKHAND,LOHARDAGA,14,Sukhdeo Bhagat,INC,1,Post Graduate,57,"Rs 2,00,94,142 ~ 2 Crore+","Rs 39,35,029 ~ 39 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10266
