Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,RAJASTHAN,SIKAR,2,Amraram,CPI(M),0,Post Graduate,68,"Rs 40,50,109 ~ 40 Lacs+",Rs 0 ~,Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=476
2024,RAJASTHAN,SIKAR,1,Amarchand,BSP,0,Post Graduate,39,"Rs 5,76,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=469
2024,RAJASTHAN,SIKAR,3,Ashok Sehra,Ambedkarite Party of India,0,Post Graduate,46,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=474
2024,RAJASTHAN,SIKAR,4,Beni Prasad Kaushik (Lata),Rashtriya Sawarn Dal,0,12th Pass,66,"Rs 94,26,271 ~ 94 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=471
2024,RAJASTHAN,SIKAR,5,Birbalsingh,IND,0,Post Graduate,67,"Rs 1,48,11,000 ~ 1 Crore+","Rs 8,06,000 ~ 8 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=73
2024,RAJASTHAN,SIKAR,6,Dhirendra Verma,Ummeed Party of India,1,12th Pass,31,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=473
2024,RAJASTHAN,SIKAR,7,Mahesh Kumar,IND,0,Graduate Professional,29,"Rs 5,34,552 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=463
2024,RAJASTHAN,SIKAR,8,Om Prakash,IND,0,Graduate Professional,36,"Rs 7,33,000 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=465
2024,RAJASTHAN,SIKAR,9,Ramesh Sharma,Bhartiya Party,0,Graduate Professional,68,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=470
2024,RAJASTHAN,SIKAR,10,Ravindra Singh Shekhawat,IND,0,Graduate,43,"Rs 13,03,000 ~ 13 Lacs+","Rs 9,00,000 ~ 9 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=467
2024,RAJASTHAN,SIKAR,11,Sumedhanand Saraswati,BJP,0,Post Graduate,72,"Rs 62,80,848 ~ 62 Lacs+","Rs 47,17,209 ~ 47 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=475
2024,RAJASTHAN,SIKAR,12,Suresh Pareek,IND,0,10th Pass,40,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=462
2024,RAJASTHAN,SIKAR,13,Vijender Maharia,Bharatiya Yuva Jan Ekta Party,0,8th Pass,32,"Rs 11,94,000 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=472
2024,RAJASTHAN,SIKAR,14,Vishnu Kumar Natraj,IND,0,12th Pass,74,"Rs 3,43,58,000 ~ 3 Crore+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=468
