Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,ANDHRA PRADESH,TIRUPATI,2,Balli Durgaprasad Rao,YSRCP,0,Graduate Professional,63,"Rs 1,74,26,921 ~ 1 Crore+",Rs 0 ~,Yes
2019,ANDHRA PRADESH,TIRUPATI,1,B Ramesh,Viduthalai Chiruthaigal Katchi,0,Graduate Professional,43,"Rs 21,24,951 ~ 21 Lacs+","Rs 3,98,000 ~ 3 Lacs+",No
2019,ANDHRA PRADESH,TIRUPATI,3,Bommi Srihari Rao,BJP,0,Graduate,44,Not Available,Not Available,No
2019,ANDHRA PRADESH,TIRUPATI,4,Chinta Mohan,INC,0,Graduate Professional,64,"Rs 2,28,08,300 ~ 2 Crore+","Rs 20,07,093 ~ 20 Lacs+",No
2019,ANDHRA PRADESH,TIRUPATI,5,Doctor Daggumati Sreehari Rao,BSP,0,Graduate Professional,52,"Rs 60,45,000 ~ 60 Lacs+","Rs 52,79,699 ~ 52 Lacs+",No
2019,ANDHRA PRADESH,TIRUPATI,6,K.S. Munirathnam,IND,0,Others,65,Not Available,Not Available,No
2019,ANDHRA PRADESH,TIRUPATI,7,Karra Siva,Pyramid Party of India,0,12th Pass,0,"Rs 15,000 ~ 15 Thou+",Rs 0 ~,No
2019,ANDHRA PRADESH,TIRUPATI,8,Kattamanchi Prabhakar,IND,0,Post Graduate,51,"Rs 3,26,587 ~ 3 Lacs+",Rs 0 ~,No
2019,ANDHRA PRADESH,TIRUPATI,9,M. Solomon,Andhra Rastra Praja Samithi,0,Graduate Professional,65,Not Available,Not Available,No
2019,ANDHRA PRADESH,TIRUPATI,10,"Neeruguttu Nagesh, M.A., Philosophy",Janapaalana Party (Democratic),0,Post Graduate,32,"Rs 13,38,000 ~ 13 Lacs+","Rs 1,80,000 ~ 1 Lacs+",No
2019,ANDHRA PRADESH,TIRUPATI,11,Panabaka Lakshmi,TDP,0,Doctorate,60,"Rs 9,40,21,818 ~ 9 Crore+",Rs 0 ~,No
2019,ANDHRA PRADESH,TIRUPATI,12,Viruvuru Sudhakar,Vishwa Jana Party,0,Graduate Professional,36,Not Available,Not Available,No
