Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,GUJARAT,DAHOD,2,Bhabhor Jasvantsinh Sumanbhai,BJP,0,Graduate Professional,47,"Rs 1,96,61,231 ~ 1 Crore+","Rs 17,41,547 ~ 17 Lacs+",Yes
2014,GUJARAT,DAHOD,1,Bamaniya Jyotishkumar Bapubhai,BSP,0,8th Pass,40,"Rs 1,55,000 ~ 1 Lacs+",Rs 0 ~,No
2014,GUJARAT,DAHOD,3,Bhabhor Mavajibhai Titubhai,SP,0,Literate,63,Not Available,Not Available,No
2014,GUJARAT,DAHOD,4,Bhura Navalabhai Manabhai,IND,0,12th Pass,42,"Rs 3,30,000 ~ 3 Lacs+",Rs 0 ~,No
2014,GUJARAT,DAHOD,5,Kalara Ramsingbhai Nanjibhai,JD(U),0,12th Pass,42,"Rs 1,10,51,107 ~ 1 Crore+",Rs 0 ~,No
2014,GUJARAT,DAHOD,6,Katara Singajibhai Jaljibhai,CPI(M),0,5th Pass,67,Not Available,Not Available,No
2014,GUJARAT,DAHOD,7,Meda Jagdishbhai Manilal,Bharatiya National Janta Dal,0,8th Pass,34,"Rs 67,000 ~ 67 Thou+",Rs 0 ~,No
2014,GUJARAT,DAHOD,8,Munia Kamalsinh Chhaganbhai,AAP,0,Post Graduate,66,"Rs 96,12,321 ~ 96 Lacs+","Rs 17,09,159 ~ 17 Lacs+",No
2014,GUJARAT,DAHOD,9,Sangada Kumari Induben Nathubhai,IND,0,12th Pass,43,Not Available,Not Available,No
2014,GUJARAT,DAHOD,10,Taviyad Dr. Prabhaben Kishorsinh,INC,0,Post Graduate,59,"Rs 2,27,78,000 ~ 2 Crore+",Rs 0 ~,No
