Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2024,ANDHRA PRADESH,CHITTOOR,5,Daggumalla Prasada Rao,TDP,0,Graduate,62,"Rs 38,44,93,765 ~ 38 Crore+","Rs 8,02,79,565 ~ 8 Crore+",Yes,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5104
2024,ANDHRA PRADESH,CHITTOOR,1,A. Purna Chandra,IND,0,10th Pass,37,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6084
2024,ANDHRA PRADESH,CHITTOOR,2,Bandapalli Ramesh,IND,0,12th Pass,37,"Rs 7,01,000 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6078
2024,ANDHRA PRADESH,CHITTOOR,3,C.Sudhakar,IND,0,10th Pass,48,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6082
2024,ANDHRA PRADESH,CHITTOOR,4,D. Mahesh,IND,0,12th Pass,36,"Rs 9,84,026 ~ 9 Lacs+","Rs 52,000 ~ 52 Thou+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6076
2024,ANDHRA PRADESH,CHITTOOR,6,K.Muni Krishna,IND,0,10th Pass,35,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6101
2024,ANDHRA PRADESH,CHITTOOR,7,Madasi Sudharshan,IND,1,12th Pass,32,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6098
2024,ANDHRA PRADESH,CHITTOOR,8,Motukur Jagapathi,INC,0,Others,48,"Rs 28,33,500 ~ 28 Lacs+","Rs 1,35,000 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6077
2024,ANDHRA PRADESH,CHITTOOR,9,N. Bhupathi,IND,0,Graduate,33,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6083
2024,ANDHRA PRADESH,CHITTOOR,10,N. Gangaiah,IND,0,12th Pass,34,Nil,Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6096
2024,ANDHRA PRADESH,CHITTOOR,11,N. Reddeppa,YSRCP,0,Post Graduate,73,"Rs 3,15,64,398 ~ 3 Crore+","Rs 41,41,050 ~ 41 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5103
2024,ANDHRA PRADESH,CHITTOOR,12,N.Chandra Babu,IND,0,12th Pass,40,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6080
2024,ANDHRA PRADESH,CHITTOOR,13,P. Madhu,IND,0,12th Pass,34,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6097
2024,ANDHRA PRADESH,CHITTOOR,14,P.Janaki Rama Rao ( Babu),National Maha Sabha Party,0,Post Graduate,52,"Rs 61,98,947 ~ 61 Lacs+","Rs 25,85,000 ~ 25 Lacs+",No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6104
2024,ANDHRA PRADESH,CHITTOOR,15,Pallipattu Abhinav Vishnu,SP,0,Post Graduate,32,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6085
2024,ANDHRA PRADESH,CHITTOOR,16,Peta Mohan,IND,0,10th Pass,35,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6081
2024,ANDHRA PRADESH,CHITTOOR,17,T Naresh,IND,0,5th Pass,30,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6099
2024,ANDHRA PRADESH,CHITTOOR,18,Vijaya Kumar Thoguru,BSP,0,Post Graduate,64,Not Available,Not Available,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6100
2024,ANDHRA PRADESH,CHITTOOR,19,Yugandar Konda,IND,1,Post Graduate,36,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6079
