Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,UTTAR PRADESH,Phulpur,8,KAPIL MUNI KARWARIYA,BSP,4,Graduate Professional,42,Nil,Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=3917
2009,UTTAR PRADESH,Phulpur,1,BHARAT LAL,IND,0,12th Pass,52,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3930
2009,UTTAR PRADESH,Phulpur,2,CHANDRAJEET,Lok Dal,0,Graduate,28,"Rs 58,000 ~ 58 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3921
2009,UTTAR PRADESH,Phulpur,3,DEVENDRA PRATAP SINGH,RDMP,1,Not Given,38,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3922
2009,UTTAR PRADESH,Phulpur,4,DHARMARAJ SINGH PATEL,INC,3,Post Graduate,50,"Rs 51,04,000 ~ 51 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3919
2009,UTTAR PRADESH,Phulpur,5,DR. MILAN MUKHERJEE,IND,0,Not Given,67,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3931
2009,UTTAR PRADESH,Phulpur,6,DR. NEERAJ,IND,0,Post Graduate,43,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3929
2009,UTTAR PRADESH,Phulpur,7,DR. SONE LAL PATEL,IND,0,Doctorate,59,"Rs 3,05,89,802 ~ 3 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3940
2009,UTTAR PRADESH,Phulpur,9,KARAN SINGH PATEL,BJP,0,Post Graduate,50,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3918
2009,UTTAR PRADESH,Phulpur,10,KRISHNA KUMAR,IND,0,Not Given,33,"Rs 1,38,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3928
2009,UTTAR PRADESH,Phulpur,11,LALLAN SINGH,Rashtriya Swabhimaan Party,6,8th Pass,35,"Rs 49,53,000 ~ 49 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3924
2009,UTTAR PRADESH,Phulpur,12,MUNISHWAR SINGH MAURYA,IND,0,Graduate Professional,65,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3932
2009,UTTAR PRADESH,Phulpur,13,PRADEEP KUMAR SRIVASTAVA,AD,0,Post Graduate,49,"Rs 1,12,92,327 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3923
2009,UTTAR PRADESH,Phulpur,14,RADHESHYAM SINGH YADAV,IND,0,Not Given,72,"Rs 11,00,800 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3934
2009,UTTAR PRADESH,Phulpur,15,RADHIKA PAL,IND,0,Post Graduate,34,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3933
2009,UTTAR PRADESH,Phulpur,16,RAM JANM YADAV,IND,0,Post Graduate,31,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3935
2009,UTTAR PRADESH,Phulpur,17,RAMSHANKAR,IND,0,Graduate,47,"Rs 10,00,000 ~ 10 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3936
2009,UTTAR PRADESH,Phulpur,18,SAMAR BAHADUR SHARMA,IND,0,Not Given,40,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3939
2009,UTTAR PRADESH,Phulpur,19,SANJEEV KUMAR MISHRA,Yuva Vikas Party,0,Post Graduate,30,"Rs 15,97,000 ~ 15 Lacs+","Rs 1,10,746 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3927
2009,UTTAR PRADESH,Phulpur,20,SATISH YADAV,IJP,0,Post Graduate,34,"Rs 15,10,025 ~ 15 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3926
2009,UTTAR PRADESH,Phulpur,21,VIJAY KUMAR,GMS,0,Literate,56,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3925
2009,UTTAR PRADESH,Phulpur,22,VIRENDRA PAL SINGH,IND,0,Graduate Professional,66,"Rs 1,10,27,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3937
