Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,TAMIL NADU,NAGAPATTINAM,11,Selvaraj M,CPI,0,12th Pass,63,"Rs 45,72,837 ~ 45 Lacs+","Rs 12,51,381 ~ 12 Lacs+",Yes
2019,TAMIL NADU,NAGAPATTINAM,1,Ambikapathi D,"Makkal Sananayaga Kudiyarasu Katchi,",0,12th Pass,39,"Rs 87,000 ~ 87 Thou+",Rs 0 ~,No
2019,TAMIL NADU,NAGAPATTINAM,2,Anitha V,BSP,0,Others,37,"Rs 15,21,000 ~ 15 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,NAGAPATTINAM,3,Guruviah K,Makkal Needhi Maiam,0,Graduate Professional,61,Not Available,Not Available,No
2019,TAMIL NADU,NAGAPATTINAM,4,Jagadeesh J,IND,0,Graduate Professional,27,"Rs 3,15,500 ~ 3 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,NAGAPATTINAM,5,Jayalakshmi,Tamil Nadu Ilangyar Katchi,0,Post Graduate,30,"Rs 1,76,000 ~ 1 Lacs+","Rs 11,000 ~ 11 Thou+",No
2019,TAMIL NADU,NAGAPATTINAM,6,Malathi P,Naam Tamilar Katchi,0,Graduate Professional,25,Not Available,Not Available,No
2019,TAMIL NADU,NAGAPATTINAM,7,Prem S,IND,0,8th Pass,38,"Rs 1,01,682 ~ 1 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,NAGAPATTINAM,8,Sambathkumar A,IND,0,Graduate Professional,39,"Rs 21,000 ~ 21 Thou+",Rs 0 ~,No
2019,TAMIL NADU,NAGAPATTINAM,9,Sampath R,IND,0,Graduate,57,Not Available,Not Available,No
2019,TAMIL NADU,NAGAPATTINAM,10,Saravanan M,AIADMK,0,Post Graduate,41,"Rs 1,84,92,618 ~ 1 Crore+","Rs 14,29,090 ~ 14 Lacs+",No
2019,TAMIL NADU,NAGAPATTINAM,12,Sengodi T,IND,2,Graduate,36,Not Available,Not Available,No
2019,TAMIL NADU,NAGAPATTINAM,13,Sivakumar P,IND,0,Graduate,44,"Rs 1,28,000 ~ 1 Lacs+","Rs 49,000 ~ 49 Thou+",No
2019,TAMIL NADU,NAGAPATTINAM,14,Soundararajan M,IND,0,8th Pass,62,"Rs 1,72,000 ~ 1 Lacs+",Rs 0 ~,No
2019,TAMIL NADU,NAGAPATTINAM,15,Vedarethinam G,Anti Corruption Dynamic Party,0,12th Pass,50,Not Available,Not Available,No
