Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,JHARKHAND,Dumka,9,SHIBU SOREN,JMM,3,10th Pass,64,Not Available,Not Available,Yes
2009,JHARKHAND,Dumka,1,ARJUN PUJHAR,SP,0,Not Given,33,"Rs 6,77,433 ~ 6 Lacs+","Rs 6,112 ~ 6 Thou+",No
2009,JHARKHAND,Dumka,2,BITIYA MANJHI,CPI(ML)(L),0,10th Pass,53,"Rs 2,49,532 ~ 2 Lacs+",Rs 0 ~,No
2009,JHARKHAND,Dumka,3,CHURKA TUDU,BSP,0,8th Pass,44,Not Available,Not Available,No
2009,JHARKHAND,Dumka,4,NANDLAL SOREN,IND,0,10th Pass,55,"Rs 12,67,000 ~ 12 Lacs+",Rs 0 ~,No
2009,JHARKHAND,Dumka,5,PASHUPATI KOL,CPI,0,12th Pass,29,"Rs 7,79,960 ~ 7 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No
2009,JHARKHAND,Dumka,6,PHATIK CHANDRA HEMBRAM,AJSU Party,0,Doctorate,64,Not Available,Not Available,No
2009,JHARKHAND,Dumka,7,RAMESH HEMBROM,JVM(P),0,Graduate,39,"Rs 60,08,000 ~ 60 Lacs+","Rs 88,000 ~ 88 Thou+",No
2009,JHARKHAND,Dumka,8,RAMESH TUDU,RJD,0,Post Graduate,34,"Rs 7,02,000 ~ 7 Lacs+","Rs 8,00,000 ~ 8 Lacs+",No
2009,JHARKHAND,Dumka,10,SUNIL SOREN,BJP,0,12th Pass,30,"Rs 14,94,554 ~ 14 Lacs+","Rs 7,80,006 ~ 7 Lacs+",No
