Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,KARNATAKA,BAGALKOT,10,P.c. Gaddigoudar,BJP,0,Graduate Professional,61,"Rs 3,63,62,500 ~ 3 Crore+","Rs 95,89,199 ~ 95 Lacs+",Yes
2014,KARNATAKA,BAGALKOT,1,Ajaykumar Sarnaik,INC,0,Graduate,57,"Rs 50,13,21,313 ~ 50 Crore+","Rs 10,05,87,230 ~ 10 Crore+",No
2014,KARNATAKA,BAGALKOT,2,Bheemappa Dhoolappa Ajjodi,IND,0,Post Graduate,33,"Rs 1,92,646 ~ 1 Lacs+","Rs 31,200 ~ 31 Thou+",No
2014,KARNATAKA,BAGALKOT,3,Dr Shankar Bidari,IND,0,Graduate,61,Not Available,Not Available,No
2014,KARNATAKA,BAGALKOT,4,Hunashyal Ravi,JD(S),0,Graduate,50,"Rs 99,50,000 ~ 99 Lacs+","Rs 8,12,000 ~ 8 Lacs+",No
2014,KARNATAKA,BAGALKOT,5,Kanabur Sadashiv Sidamallappa,JD(U),0,Graduate Professional,41,"Rs 1,54,93,504 ~ 1 Crore+","Rs 22,29,492 ~ 22 Lacs+",No
2014,KARNATAKA,BAGALKOT,6,Kutubuddin Kazi,AAP,0,10th Pass,54,Not Available,Not Available,No
2014,KARNATAKA,BAGALKOT,7,Mahesh Basappa Nandihal,Karunaadu Party,1,Graduate,36,"Rs 23,40,300 ~ 23 Lacs+","Rs 4,34,000 ~ 4 Lacs+",No
2014,KARNATAKA,BAGALKOT,8,Muttappa Hirekumbi,IND,0,Literate,41,"Rs 28,87,000 ~ 28 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No
2014,KARNATAKA,BAGALKOT,9,Nagappa Shiraguppi,IND,0,Literate,45,Not Available,Not Available,No
2014,KARNATAKA,BAGALKOT,11,Parashuram Rathod,IND,0,12th Pass,38,"Rs 7,76,342 ~ 7 Lacs+","Rs 84,800 ~ 84 Thou+",No
2014,KARNATAKA,BAGALKOT,12,Vasanagouda Bhandi,IND,0,12th Pass,51,Not Available,Not Available,No
2014,KARNATAKA,BAGALKOT,13,Yamanur Kamble,BSP,1,Post Graduate,35,"Rs 50,34,259 ~ 50 Lacs+",Rs 0 ~,No
