Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,JHARKHAND,Chatra,7,DHIRENDRA AGARWAL,RJD,1,Doctorate,45,"Rs 2,80,85,948 ~ 2 Crore+","Rs 7,50,000 ~ 7 Lacs+",Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1459
2004,JHARKHAND,Chatra,1,AWADH KISHORE SINGH,IND,1,12th Pass,37,"Rs 64,000 ~ 64 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1472
2004,JHARKHAND,Chatra,2,BHARAT PRASAD SINGH,IND,0,Graduate,64,"Rs 1,27,20,000 ~ 1 Crore+","Rs 1,40,000 ~ 1 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1470
2004,JHARKHAND,Chatra,3,BINDHYACHAL SINGH,IND,0,12th Pass,48,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1473
2004,JHARKHAND,Chatra,4,BINOD BIHARI,IND,1,Graduate,29,"Rs 50,000 ~ 50 Thou+","Rs 1,01,800 ~ 1 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1471
2004,JHARKHAND,Chatra,5,BIRJU RAM,CPI(ML)(L),3,Graduate,39,"Rs 2,82,645 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1466
2004,JHARKHAND,Chatra,6,CHAMARI RAM,IND,0,8th Pass,55,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1474
2004,JHARKHAND,Chatra,8,DR. SITA RAM SINGH,IND,0,Graduate Professional,40,"Rs 11,29,000 ~ 11 Lacs+","Rs 17,442 ~ 17 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1465
2004,JHARKHAND,Chatra,9,INDER SINGH NAMDHARI,JD(U),1,Graduate,60,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1460
2004,JHARKHAND,Chatra,10,MUNESHWAR SINGH,IND,1,Graduate Professional,68,"Rs 62,75,000 ~ 62 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1468
2004,JHARKHAND,Chatra,11,NAGMANI,BJP,0,12th Pass,40,"Rs 24,02,153 ~ 24 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1461
2004,JHARKHAND,Chatra,12,RAJ KUMAR SHARMA,IND,0,Graduate,29,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1467
