Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,PUNJAB,GURDASPUR,1,Ajay Singh Dharmendra Deol (Sunny Deol),BJP,0,Others,59,"Rs 87,19,25,679 ~ 87 Crore+","Rs 53,46,44,785 ~ 53 Crore+",Yes
2019,PUNJAB,GURDASPUR,2,Amandeep Singh Ghotra,IND,0,Graduate,39,"Rs 27,06,333 ~ 27 Lacs+",Rs 0 ~,No
2019,PUNJAB,GURDASPUR,3,Ashwani Kumar,CPI(ML)(L),0,10th Pass,35,Not Available,Not Available,No
2019,PUNJAB,GURDASPUR,4,Harpreet Singh,IND,1,10th Pass,39,"Rs 3,20,000 ~ 3 Lacs+",Rs 0 ~,No
2019,PUNJAB,GURDASPUR,5,Jasbir Singh,Bahujan Samaj Party (Ambedkar),0,5th Pass,33,"Rs 2,51,000 ~ 2 Lacs+",Rs 0 ~,No
2019,PUNJAB,GURDASPUR,6,Karam Singh,IND,0,12th Pass,42,Not Available,Not Available,No
2019,PUNJAB,GURDASPUR,7,Kasim Deen,IND,0,Illiterate,44,"Rs 1,46,300 ~ 1 Lacs+",Rs 0 ~,No
2019,PUNJAB,GURDASPUR,8,Lal Chand,Revolutionary Marxist Party of India,0,10th Pass,49,"Rs 4,06,299 ~ 4 Lacs+","Rs 25,000 ~ 25 Thou+",No
2019,PUNJAB,GURDASPUR,9,Mangalsingh,Democratic Party of India,0,Not Given,41,Not Available,Not Available,No
2019,PUNJAB,GURDASPUR,10,Parampreet Singh,IND,1,Graduate,25,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,No
2019,PUNJAB,GURDASPUR,11,Peter Masih,AAP,0,12th Pass,37,"Rs 27,68,778 ~ 27 Lacs+","Rs 7,77,377 ~ 7 Lacs+",No
2019,PUNJAB,GURDASPUR,12,Pritam Singh Bhatti,Janral Samaj Party,0,10th Pass,63,Not Available,Not Available,No
2019,PUNJAB,GURDASPUR,13,Sukrit Sharda,IND,0,Graduate,0,"Rs 33,33,000 ~ 33 Lacs+",Rs 0 ~,No
2019,PUNJAB,GURDASPUR,14,Sunil Kumar Jakhar,INC,0,Post Graduate,65,"Rs 25,17,62,701 ~ 25 Crore+",Rs 0 ~,No
2019,PUNJAB,GURDASPUR,15,Yash Paul,Bahujan Mukti Party,0,12th Pass,30,Not Available,Not Available,No
