Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2024,UTTAR PRADESH,CHANDAULI,2,Birendra Singh,SP,3,Graduate,65,"Rs 18,80,17,648 ~ 18 Crore+","Rs 11,54,113 ~ 11 Lacs+",Yes
2024,UTTAR PRADESH,CHANDAULI,1,Arvind Kumar Patel,Sardar Patel Siddhant Party,0,Graduate,36,"Rs 72,97,040 ~ 72 Lacs+","Rs 54,000 ~ 54 Thou+",No
2024,UTTAR PRADESH,CHANDAULI,3,Dr. Mahendra Nath Pandey,BJP,0,Doctorate,67,Not Available,Not Available,No
2024,UTTAR PRADESH,CHANDAULI,4,Rajesh Vishwakarma,Moulik Adhikar Party,0,12th Pass,41,"Rs 42,07,430 ~ 42 Lacs+",Rs 0 ~,No
2024,UTTAR PRADESH,CHANDAULI,5,Ram Govind,Samajhdar Party,0,Graduate Professional,36,"Rs 94,21,448 ~ 94 Lacs+","Rs 7,88,248 ~ 7 Lacs+",No
2024,UTTAR PRADESH,CHANDAULI,6,Sanjay Kumar Sinha,Jai Hind National Party,0,12th Pass,45,Not Available,Not Available,No
2024,UTTAR PRADESH,CHANDAULI,7,Santosh Kumar,IND,0,Graduate,40,"Rs 38,000 ~ 38 Thou+",Rs 0 ~,No
2024,UTTAR PRADESH,CHANDAULI,8,Satyendra Kumar Maurya,BSP,0,12th Pass,50,"Rs 7,24,59,045 ~ 7 Crore+","Rs 69,27,670 ~ 69 Lacs+",No
2024,UTTAR PRADESH,CHANDAULI,9,Sher Singh,Yuga Thulasi Party,0,10th Pass,50,Not Available,Not Available,No
2024,UTTAR PRADESH,CHANDAULI,10,Shobhanath Prajapati,Bhagidari Party(P),0,8th Pass,47,"Rs 1,39,000 ~ 1 Lacs+",Rs 0 ~,No
