Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,MADHYA PRADESH,SHAHDOL,1,Dalpat Singh Paraste,BJP,0,Graduate Professional,61,"Rs 55,24,870 ~ 55 Lacs+",Rs 0 ~,Yes
2014,MADHYA PRADESH,SHAHDOL,2,Er. Vijay Kumar Kol,AAP,0,Post Graduate,26,"Rs 1,80,118 ~ 1 Lacs+",Rs 0 ~,No
2014,MADHYA PRADESH,SHAHDOL,3,Jogendra Singh,Bahujan Mukti Party,0,8th Pass,44,Not Available,Not Available,No
2014,MADHYA PRADESH,SHAHDOL,4,Lala Kol,IND,0,8th Pass,47,"Rs 1,30,100 ~ 1 Lacs+","Rs 2,000 ~ 2 Thou+",No
2014,MADHYA PRADESH,SHAHDOL,5,Mahaveer Parshad Manjhi,IND,0,8th Pass,72,"Rs 45,68,000 ~ 45 Lacs+",Rs 0 ~,No
2014,MADHYA PRADESH,SHAHDOL,6,Parmeshwar Singh,CPI,0,5th Pass,33,Not Available,Not Available,No
2014,MADHYA PRADESH,SHAHDOL,7,Phool Singh Paraste,BSP,2,Post Graduate,48,"Rs 56,94,356 ~ 56 Lacs+","Rs 1,20,000 ~ 1 Lacs+",No
2014,MADHYA PRADESH,SHAHDOL,8,Rajes Nandini Singh - Dalvir,INC,0,Graduate,57,"Rs 4,13,89,440 ~ 4 Crore+","Rs 6,45,000 ~ 6 Lacs+",No
2014,MADHYA PRADESH,SHAHDOL,9,Raju Baiga,IND,1,10th Pass,43,Not Available,Not Available,No
2014,MADHYA PRADESH,SHAHDOL,10,Ram Gopal Singh,Bhartiya Shakti Chetna Party,0,8th Pass,51,"Rs 14,75,529 ~ 14 Lacs+",Rs 0 ~,No
2014,MADHYA PRADESH,SHAHDOL,11,Ram Singh,Chhattisgarh Swabhiman Manch,0,8th Pass,39,"Rs 1,86,000 ~ 1 Lacs+",Rs 0 ~,No
2014,MADHYA PRADESH,SHAHDOL,12,Ramratan Singh Pawley,GGP,0,Post Graduate,33,Not Available,Not Available,No
2014,MADHYA PRADESH,SHAHDOL,13,Sahdev Singh Paraste,NPP,0,Post Graduate,44,"Rs 15,86,000 ~ 15 Lacs+","Rs 1,50,000 ~ 1 Lacs+",No
2014,MADHYA PRADESH,SHAHDOL,14,Yogesh Kumar Singh Ad.,SP,0,Graduate Professional,44,"Rs 12,51,141 ~ 12 Lacs+","Rs 1,820 ~ 1 Thou+",No
