Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,BIHAR,Gopalganj,8,PURNAMASI RAM,JD(U),1,10th Pass,52,"Rs 34,21,562 ~ 34 Lacs+","Rs 5,33,024 ~ 5 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=1365
2009,BIHAR,Gopalganj,1,ANIL KUMAR,RJD,0,Graduate,41,"Rs 52,38,958 ~ 52 Lacs+","Rs 1,20,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1358
2009,BIHAR,Gopalganj,2,Asha Devi,IND,0,Literate,46,"Rs 78,30,496 ~ 78 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1359
2009,BIHAR,Gopalganj,3,BINITA BAITHA,IND,0,Graduate,25,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1360
2009,BIHAR,Gopalganj,4,DHARMENDRA KUMAR HAJARA,IND,0,Literate,41,"Rs 7,452 ~ 7 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1361
2009,BIHAR,Gopalganj,5,DINA NATH MANJHI,IND,1,Graduate,31,"Rs 12,65,137 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1362
2009,BIHAR,Gopalganj,6,JANAK RAM,BSP,1,Post Graduate,37,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1363
2009,BIHAR,Gopalganj,7,Madhu Bharti,LTSD,0,10th Pass,39,"Rs 5,60,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1364
2009,BIHAR,Gopalganj,9,RAJESH KUMAR RAM,IND,0,Graduate,28,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1366
2009,BIHAR,Gopalganj,10,RAM KUMAR MANJHI,SBSP,0,Graduate,30,"Rs 1,25,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1367
2009,BIHAR,Gopalganj,11,RAM SURAT RAM,IND,0,12th Pass,42,"Rs 2,600 ~ 2 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1368
2009,BIHAR,Gopalganj,12,RAMASHANKAR RAM,RJJM,0,Graduate,43,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1369
2009,BIHAR,Gopalganj,13,SAMBHU DOM,IND,0,8th Pass,41,"Rs 18,500 ~ 18 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1371
2009,BIHAR,Gopalganj,14,SATYADEO RAM,CPI(ML)(L),6,10th Pass,39,"Rs 2,58,600 ~ 2 Lacs+","Rs 13,000 ~ 13 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1372
2009,BIHAR,Gopalganj,15,SURENDRA PASWAN,IND,0,Post Graduate,28,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1373
