Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,PUNJAB,GURDASPUR,13,Vinod Khanna,BJP,0,Graduate,68,"Rs 66,93,43,376 ~ 66 Crore+","Rs 1,26,95,306 ~ 1 Crore+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=7656
2014,PUNJAB,GURDASPUR,1,Amit Aggarwal,IND,0,12th Pass,42,"Rs 12,49,500 ~ 12 Lacs+","Rs 2,50,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7662
2014,PUNJAB,GURDASPUR,2,Gurmeet Singh Bakhatpura,CPI(ML)L,0,12th Pass,62,"Rs 37,00,000 ~ 37 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7660
2014,PUNJAB,GURDASPUR,3,Gurpreet Singh Khanna,Bharatiya Gaon Taj Dal,0,Graduate,46,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7659
2014,PUNJAB,GURDASPUR,4,Mukesh,IND,0,Post Graduate,32,"Rs 3,00,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7664
2014,PUNJAB,GURDASPUR,5,Partap Singh Bajwa,INC,0,Graduate,57,"Rs 24,70,69,039 ~ 24 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7654
2014,PUNJAB,GURDASPUR,6,Peter Masih,SARVAJAN SAMAJ PARTY (D),0,12th Pass,0,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7661
2014,PUNJAB,GURDASPUR,7,Rohit Maingi,IND,0,12th Pass,37,"Rs 12,39,600 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7665
2014,PUNJAB,GURDASPUR,8,Santosh Kumari,Megh Desham Party,0,12th Pass,38,"Rs 6,02,556 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7657
2014,PUNJAB,GURDASPUR,9,Sikander Singh,IND,0,12th Pass,34,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7663
2014,PUNJAB,GURDASPUR,10,Sucha Singh Chhotepur,AAP,0,Graduate,66,"Rs 3,12,70,000 ~ 3 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7658
2014,PUNJAB,GURDASPUR,11,Sukhwinder Singh,BSP,0,Graduate,56,"Rs 2,22,13,245 ~ 2 Crore+","Rs 15,05,787 ~ 15 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7653
2014,PUNJAB,GURDASPUR,12,Varinder Singh,CPI,0,Graduate Professional,27,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7655
